2026-06-29 15:54:15.565 [main] INFO  rogue.model.domain.entities.characters.communicators.Communicator - Силы общаться игрока снижено на 27 до 231.0
2026-06-29 15:54:16.145 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:16.146 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 19 при шансах 41/100
2026-06-29 15:54:16.146 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 73
2026-06-29 15:54:16.146 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет 24.5
2026-06-29 15:54:16.146 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 85 при шансах 58/100
2026-06-29 15:54:16.357 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:16.358 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 62 при шансах 41/100
2026-06-29 15:54:16.358 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:16.358 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 76 при шансах 58/100
2026-06-29 15:54:16.587 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:16.587 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 60 при шансах 41/100
2026-06-29 15:54:16.587 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:16.587 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 81 при шансах 58/100
2026-06-29 15:54:16.780 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:16.781 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 20 при шансах 41/100
2026-06-29 15:54:16.781 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 77
2026-06-29 15:54:16.781 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет -52.5
2026-06-29 15:54:16.781 [main] INFO  rogue.model.domain.entities.characters.Player - Монстр убит class rogue.model.domain.entities.characters.communicators.Networker
2026-06-29 15:54:16.781 [main] INFO  rogue.model.domain.entities.characters.Player - Поднято 8 золота
2026-06-29 15:54:18.450 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:18.450 [main] INFO  rogue.model.domain.entities.characters.Player - Пропущена атака в первый ход удара вампира
2026-06-29 15:54:18.450 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 29 при шансах 58/100
2026-06-29 15:54:18.490 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:18.491 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 50 при шансах 41/100
2026-06-29 15:54:18.491 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:18.491 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 11 при шансах 58/100
2026-06-29 15:54:18.531 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:18.531 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 86 при шансах 41/100
